Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.76,0.7494,36.83,"[51, 49, 23, 177]",0.7519,0.76,300
2,0.3333,0.1667,47.54,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,22.96,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,25.71,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,25.41,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.6667,0.5333,30.38,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,27.08,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.3333,0.1667,23.55,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,26.32,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,24.43,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.6667,0.5333,34.23,"[0, 100, 0, 200]",0.4444,0.6667,300
12,0.6667,0.5333,38.58,"[0, 100, 0, 200]",0.4444,0.6667,300
13,0.9267,0.9251,49.98,"[82, 18, 4, 196]",0.9284,0.9267,300
