Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,53.91,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,33.5,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.6467,0.6512,26.31,"[53, 47, 59, 141]",0.6577,0.6467,300
4,0.76,0.7108,25.89,"[28, 72, 0, 200]",0.8235,0.76,300
5,0.3333,0.1667,26.35,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,29.05,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,25.03,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,27.21,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.4667,0.4074,25.9,"[100, 0, 160, 40]",0.7949,0.4667,300
10,0.9067,0.9021,27.3,"[72, 28, 0, 200]",0.9181,0.9067,300
