Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,57.5,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,27.3,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.7467,0.6947,29.0,"[26, 74, 2, 198]",0.7948,0.7467,300
4,0.68,0.5633,46.93,"[4, 96, 0, 200]",0.7838,0.68,300
5,0.6667,0.5333,49.77,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.3333,0.1667,28.97,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.6667,0.5333,73.44,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.3333,0.1667,88.21,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,106.25,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8533,0.8399,61.06,"[56, 44, 0, 200]",0.8798,0.8533,300
11,0.68,0.6826,69.23,"[98, 2, 94, 106]",0.8245,0.68,300
12,0.9033,0.9043,48.89,"[90, 10, 19, 181]",0.907,0.9033,300
