round,layer_index,avg_diffs,std_dev,shape
13,2,255858.25,614884.1,"(32,)"
13,3,137233.03,104494.95,"(32,)"
13,4,402617.78,537808.8,"(32,)"
13,5,46342.625,33023.8,"(32,)"
13,6,168491.92,226459.38,"(5, 5, 32, 16)"
13,7,107958.19,77168.24,"(16,)"
13,8,133155.5,101625.71,"(16,)"
13,9,241716.62,186958.67,"(16,)"
13,10,2092725.8,1489576.4,"(16,)"
13,11,2269444.2,1758622.9,"(16,)"
13,12,157928.95,126204.43,"(5, 5, 16, 32)"
13,13,297042.38,233678.08,"(32,)"
13,14,179790.5,174565.61,"(32,)"
13,15,172456.88,122016.83,"(32,)"
13,16,1353223.9,1035910.5,"(32,)"
13,17,2264080.8,1482151.5,"(32,)"
13,18,134693.75,172672.58,"(4608, 200)"
13,19,93959.56,159795.22,"(200,)"
13,20,123823.26,273663.47,"(200, 2)"
13,21,23126.0,0.0,"(2,)"
14,0,362579.0,424582.84,"(5, 5, 1, 32)"
14,1,519342.62,740640.25,"(32,)"
14,2,388467.75,732278.9,"(32,)"
14,3,251111.44,215995.22,"(32,)"
14,4,458764.75,540846.94,"(32,)"
14,5,31057.094,22591.982,"(32,)"
14,6,262820.03,308813.22,"(5, 5, 32, 16)"
14,7,209941.75,164206.36,"(16,)"
14,8,423349.0,242732.98,"(16,)"
14,9,564563.3,376547.94,"(16,)"
14,10,4045150.2,2998174.8,"(16,)"
14,11,10896054.0,11102303.0,"(16,)"
14,12,351982.03,269704.7,"(5, 5, 16, 32)"
14,13,567198.25,335131.9,"(32,)"
14,14,352491.25,249097.06,"(32,)"
14,15,330088.16,217798.14,"(32,)"
14,16,2169204.5,1746229.8,"(32,)"
14,17,4547524.0,4381133.5,"(32,)"
14,18,213821.34,298478.66,"(4608, 200)"
14,19,168336.4,265073.72,"(200,)"
14,20,177066.95,268393.5,"(200, 2)"
14,21,4712.0,0.0,"(2,)"
1,0,525723.97125,378916.7867578552,"(5, 5, 1, 32)"
1,1,704725.9375,307198.6803293938,"(32,)"
1,2,661492.625,621692.1064487403,"(32,)"
1,3,563356.53125,364016.542241385,"(32,)"
1,4,1770620.28125,2075133.5583412943,"(32,)"
1,5,45201994.75,120087.43358278584,"(32,)"
1,6,695806.953203125,613567.274538259,"(5, 5, 32, 16)"
1,7,479850.375,333588.45737766376,"(16,)"
1,8,912158.9375,552402.5165215203,"(16,)"
1,9,756538.5625,382123.44944647286,"(16,)"
1,10,29278618.1875,12718692.623529129,"(16,)"
1,11,22524788.125,14134880.376628563,"(16,)"
1,12,556063.939609375,388673.29882818984,"(5, 5, 16, 32)"
1,13,791928.71875,459964.4988859354,"(32,)"
1,14,1358040.1875,496565.83464779856,"(32,)"
1,15,463236.625,311745.0075201436,"(32,)"
1,16,23675169.8125,7900369.388402926,"(32,)"
1,17,19367861.5625,10815902.585980743,"(32,)"
1,18,631493.0565538194,525236.2578110405,"(4608, 200)"
1,19,575829.925,369710.3941911552,"(200,)"
1,20,748795.0,393497.0542291899,"(200, 2)"
1,21,386542.0,0.0,"(2,)"
1,0,1087693.28,1221155.2522042391,"(5, 5, 1, 32)"
1,1,1187129.78125,1070192.9403546744,"(32,)"
1,2,1365423.0,1447507.2488041727,"(32,)"
1,3,1174047.15625,725155.0573447684,"(32,)"
1,4,2813783.28125,3262108.0577965532,"(32,)"
1,5,99129258.4375,259762.7364107891,"(32,)"
1,6,1606643.432890625,1539648.713049839,"(5, 5, 32, 16)"
1,7,964260.6875,1030977.9477408039,"(16,)"
1,8,1176372.4375,798693.7625146111,"(16,)"
1,9,1542761.5625,1011484.5992617095,"(16,)"
1,10,45530172.6875,15377719.609673949,"(16,)"
1,11,50037732.375,23940537.97534075,"(16,)"
1,12,841115.48203125,696644.9846468832,"(5, 5, 16, 32)"
1,13,1296373.46875,1077814.418503772,"(32,)"
1,14,2183516.625,1272707.0592918699,"(32,)"
1,15,1174635.59375,754341.4635444804,"(32,)"
