Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6433,0.6526,53.18,"[63, 37, 70, 130]",0.6769,0.6433,300
2,0.3333,0.1667,28.55,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,46.34,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.8,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,26.29,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,31.72,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,29.92,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,50.11,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,25.86,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.86,0.8561,57.45,"[70, 30, 12, 188]",0.8595,0.86,300
11,0.8433,0.8392,46.46,"[68, 32, 15, 185]",0.8414,0.8433,300
12,0.8867,0.8826,28.09,"[72, 28, 6, 194]",0.8903,0.8867,300
13,0.88,0.8797,28.41,"[81, 19, 17, 183]",0.8795,0.88,300
14,0.6267,0.629,27.24,"[91, 9, 103, 97]",0.7664,0.6267,300
15,0.8467,0.8353,27.18,"[58, 42, 4, 196]",0.8608,0.8467,300
16,0.9033,0.8997,26.64,"[74, 26, 3, 197]",0.9093,0.9033,300
17,0.9167,0.9132,24.06,"[75, 25, 0, 200]",0.9259,0.9167,300
